"id","Y1","Y2","Y3","Y4","Y5","Y6"
"D001",11.2078531011676,11.7557217982387,12.4081362288702,17.0306992947746,16.535703475037,16.3367769998412
"D002",9.4933999553635,13.0784763254021,7.21737247582931,17.0596926772532,14.4904055336355,13.2466591329208
"D003",12.6212157304673,9.61512041268003,11.2818250124907,16.9400072245631,18.7579628377541,14.57814686601
"D004",9.75169148917177,14.4107903502582,11.6678472793416,15.632980466918,13.5515576630043,8.36110124294901
"D005",14.0514074865069,12.1807322288863,12.8575982804949,18.1146080131669,15.2003705119315,16.5275158007412
"D006",6.34927798216233,8.48191286036895,6.93080650026244,11.795749879929,13.8864037047948,11.5599752852346
"D007",4.92798084335408,11.3169068338173,7.67799062410933,12.2148867387767,12.8385961421547,12.4111118887663
"D008",7.21566580432102,9.90058775979395,8.79252290437431,17.2897572108126,17.8684402139415,19.0148918221736
"D009",13.8074469091053,12.7345106193056,14.6306270935399,19.1788426209935,17.5248453286522,18.6231334935894
"D010",8.01096742999559,12.2045247366437,9.85967980048201,18.615165210646,18.2214028015621,12.998064573967
"D011",7.4346368184363,4.55058030092132,1.0310688416899,8.99225108428653,10.6793366938631,7.03660308522904
"D012",11.0339438624086,8.71423244597821,11.3680905017675,6.53405702768979,10.6610176329981,9.21261725373432
"D013",11.9111948329228,14.1258957946894,16.1067767180384,26.6980702629132,22.4634943459205,17.7105229519411
"D014",8.72193991483739,14.4866237727539,11.4717314492427,21.9241902476818,14.4210504131891,12.5323228067671
"D015",8.6807657815578,8.49751145110711,7.96528060943398,13.429587020017,12.9420820683307,16.2061087609568
"D016",4.77161096513846,13.4569886437391,5.47538423773324,13.2072128979397,13.246226369386,8.41731530531663
"D017",19.3992919326681,19.5489461767145,19.3481667239826,19.1581604146104,23.3337974196528,16.3984240414933
"D018",12.0701640636802,12.0988302397819,12.004236604603,11.1071310116061,15.6316352064172,12.2445192589548
"D019",10.2070622834845,11.3750708113176,13.6472350194123,10.417033433034,14.7910547214325,9.80110190639014
"D020",6.36253538712197,10.1113302045643,12.0224352039427,15.4666034396543,17.2460196602747,13.0485208259656
"D021",7.6023676452712,10.3024924486368,8.68108537273181,13.909051010085,11.5805307724597,17.4603284466931
